year,zipcode,ZRI,lat,lon
2011,94087,3224,37.351529,-122.036959
2011,94089,2228,37.412402,-122.015605
2011,94301,6417,37.444131,-122.149917
2011,94303,3270,37.457883,-122.115097
2011,94306,4224,37.415703,-122.130771
2011,94404,3392,37.555999,-122.267679
2011,95014,3697,37.306491,-122.08064
2011,95020,2405,37.018419,-121.554249
2011,95030,5243,37.2231,-121.983869
2011,95030,5243,37.2231,-121.983869
2011,95032,3694,37.217271,-121.924385
2011,95033,2883,37.160846,-121.983966
2011,95035,2407,37.443638,-121.874953
2011,95037,2624,37.174063,-121.598747
2011,95046,2630,37.099308,-121.59924
2011,95050,2405,37.351154,-121.952324
2011,95051,2534,37.348639,-121.984373
2011,95054,2569,37.393491,-121.96467
2011,95070,5008,37.260501,-122.04617
2011,95110,2003,37.346521,-121.909828
2011,95111,2209,37.283111,-121.826245
2011,95112,2076,37.344482,-121.883535
2011,95116,2057,37.350421,-121.852585
2011,95117,2550,37.311208,-121.961886
2011,95118,2447,37.255364,-121.891912
2011,95119,2412,37.230327,-121.785227
2011,95120,3357,37.186143,-121.843532
2011,95121,2357,37.304149,-121.809867
2011,95122,2066,37.328683,-121.835268
2011,95123,2397,37.244238,-121.831604
2011,95124,2496,37.25685,-121.922737
2011,95125,2639,37.295056,-121.89144
2011,95126,2410,37.326809,-121.916753
2011,95127,2139,37.371092,-121.800755
2011,95128,2386,37.315986,-121.936315
2011,95129,3045,37.305742,-122.000927
2011,95130,2535,37.277121,-121.986133
2011,95131,2431,37.387105,-121.897415
2011,95132,2398,37.424565,-121.748597
2011,95133,2373,37.371606,-121.860844
2011,95134,2707,37.428625,-121.9434
2011,95135,3187,37.284529,-121.658321
2011,95136,2452,37.269128,-121.850992
2011,95138,3235,37.246623,-121.733833
2011,95139,2363,37.224914,-121.764075
2011,95148,2442,37.335987,-121.777603
2014,94002,4385,37.514354,-122.298901
2014,94010,6857,37.57028,-122.365778
2014,94010,6857,37.57028,-122.365778
2014,94022,8154,37.35748,-122.14444
2014,94024,6274,37.352232,-122.094398
2014,94025,5545,37.456392,-122.173601
2014,94027,14520,37.453514,-122.204756
2014,94027,14520,37.453514,-122.204756
2014,94028,9596,37.37685,-122.209761
2014,94040,4757,37.380568,-122.085297
2014,94041,4172,37.38852,-122.075726
2014,94043,3884,37.414028,-122.070679
2014,94085,3123,37.388556,-122.017732
2014,94086,3490,37.371647,-122.023134
2014,94087,4017,37.351529,-122.036959
2014,94089,2934,37.412402,-122.015605
2014,94301,8371,37.444131,-122.149917
2014,94303,4436,37.457883,-122.115097
2014,94306,5679,37.415703,-122.130771
2014,94404,4352,37.555999,-122.267679
2014,95014,4575,37.306491,-122.08064
2014,95020,2821,37.018419,-121.554249
2014,95030,6113,37.2231,-121.983869
2014,95030,6113,37.2231,-121.983869
2014,95032,4503,37.217271,-121.924385
2014,95033,3384,37.160846,-121.983966
2014,95035,2985,37.443638,-121.874953
2014,95037,3190,37.174063,-121.598747
2014,95046,3129,37.099308,-121.59924
2014,95050,3087,37.351154,-121.952324
2014,95051,3323,37.348639,-121.984373
2014,95054,3304,37.393491,-121.96467
2014,95070,5972,37.260501,-122.04617
2014,95110,2616,37.346521,-121.909828
2014,95111,2636,37.283111,-121.826245
2014,95112,2717,37.344482,-121.883535
2014,95116,2593,37.350421,-121.852585
2014,95117,3367,37.311208,-121.961886
2014,95118,3091,37.255364,-121.891912
2014,95119,2940,37.230327,-121.785227
2014,95120,3921,37.186143,-121.843532
2014,95121,2758,37.304149,-121.809867
2014,95122,2559,37.328683,-121.835268
2014,95123,2834,37.244238,-121.831604
2014,95124,3306,37.25685,-121.922737
2014,95125,3373,37.295056,-121.89144
2014,95126,3054,37.326809,-121.916753
2014,95127,2617,37.371092,-121.800755
2014,95128,3048,37.315986,-121.936315
2014,95129,3700,37.305742,-122.000927
2014,95130,3391,37.277121,-121.986133
2014,95131,2931,37.387105,-121.897415
2014,95132,2901,37.424565,-121.748597
2014,95133,2915,37.371606,-121.860844
2014,95134,3411,37.428625,-121.9434
2014,95135,3729,37.284529,-121.658321
2014,95136,3031,37.269128,-121.850992
2014,95138,3823,37.246623,-121.733833
2014,95139,2818,37.224914,-121.764075
2014,95148,3053,37.335987,-121.777603
