,year,zipcode,ZRI,lat,lon
128756,2018,3077,1844.0,43.038038,-71.205107
128757,2018,3079,2045.0,42.788267,-71.221725
128758,2018,3082,1745.0,42.896409000000006,-71.768331
128759,2018,3084,1714.0,42.826723,-71.875416
128760,2018,3086,1718.0,42.832231,-71.759615
128761,2018,3087,2353.0,42.811091999999995,-71.302688
128762,2018,3102,1704.0,43.011907,-71.491063
128763,2018,3103,1725.0,42.950905999999996,-71.44655999999999
128764,2018,3104,1944.0,43.009552,-71.439782
128765,2018,3106,1788.0,43.082194,-71.446738
128766,2018,3109,1775.0,42.963734,-71.40035
128767,2018,3110,2738.0,42.935584000000006,-71.53687099999999
128768,2018,3216,1516.0,43.451175,-71.79794
128769,2018,3217,1400.0,43.725967,-71.642579
128770,2018,3220,1495.0,43.474455,-71.482208
128771,2018,3221,1578.0,43.258003,-71.960169
128772,2018,3222,1347.0,43.643715,-71.799277
128773,2018,3223,1442.0,43.85544,-71.68549200000001
128774,2018,3224,1667.0,43.36249,-71.55802
128775,2018,3225,1394.0,43.359832,-71.245362
128776,2018,3229,1740.0,43.202191,-71.696789
128777,2018,3230,1227.0,43.508646999999996,-71.890242
128778,2018,3234,1742.0,43.204812,-71.348563
128779,2018,3235,1158.0,43.448972999999995,-71.674166
128780,2018,3237,1515.0,43.423058000000005,-71.387218
128781,2018,3240,1332.0,43.574690999999994,-71.95191899999999
128782,2018,3241,1613.0,43.751841,-71.817784
128783,2018,3242,1647.0,43.169407,-71.83120100000001
128784,2018,3243,1338.0,43.528306,-71.769192
128785,2018,3244,1567.0,43.128121,-71.916981
128786,2018,3245,1862.0,43.761761,-71.58252900000001
128787,2018,3246,1451.0,43.576535,-71.482263
128788,2018,3249,1630.0,43.519498999999996,-71.375838
